"Date","Price","Open","High","Low","Vol.","Change %"
"03/19/2025","247.50","244.00","248.50","243.85","2.29M","1.11%"
"03/18/2025","244.79","243.50","245.44","242.87","2.13M","0.63%"
"03/17/2025","243.26","241.51","243.60","241.31","2.20M","0.61%"
"03/14/2025","241.79","241.75","243.48","240.65","1.05M","0.33%"
"03/13/2025","241.00","241.24","241.90","240.60","323.71K","0.40%"
"03/12/2025","240.04","242.90","243.50","239.03","1.52M","-0.48%"
"03/11/2025","241.20","240.20","243.90","240.20","1.77M","0.89%"
"03/10/2025","239.07","239.00","241.50","236.49","1.72M","0.10%"
"03/07/2025","238.84","241.99","241.99","238.60","585.21K","-0.50%"
"03/06/2025","240.05","243.23","243.23","239.50","1.29M","-1.31%"
"03/05/2025","243.23","243.00","244.90","241.69","739.30K","0.11%"
"03/04/2025","242.96","242.00","243.10","241.97","226.09K","0.01%"
"03/03/2025","242.94","242.00","243.87","241.50","1.24M","0.43%"
"02/28/2025","241.90","237.38","244.90","237.38","2.17M","1.21%"
"02/27/2025","239.01","239.90","239.90","237.00","1.40M","1.01%"
"02/26/2025","236.63","239.40","240.00","236.02","822.53K","-0.94%"
"02/25/2025","238.88","239.99","240.80","238.00","1.82M","-0.48%"
"02/24/2025","240.04","235.95","242.00","232.75","1.27M","2.32%"
"02/21/2025","234.60","236.60","237.20","232.50","867.97K","-0.85%"
"02/20/2025","236.60","236.74","237.70","235.55","688.33K","-0.06%"
"02/19/2025","236.74","235.99","238.65","234.01","755.38K","0.91%"
"02/18/2025","234.61","234.50","236.00","230.00","425.27K","-0.14%"
"02/17/2025","234.93","236.35","237.90","233.85","530.61K","-0.59%"
"02/14/2025","236.33","240.00","240.30","235.50","852.51K","-1.20%"
"02/13/2025","239.21","239.44","240.49","236.90","1.84M","0.52%"
"02/12/2025","237.98","239.00","239.75","236.00","708.87K","0.20%"
"02/11/2025","237.50","235.00","239.00","235.00","344.59K","0.15%"
"02/10/2025","237.15","238.00","238.86","234.00","421.38K","0.06%"
"02/07/2025","237.00","236.50","238.70","235.00","312.40K","0.37%"
"02/06/2025","236.13","240.00","241.00","235.07","1.73M","-1.61%"
"02/04/2025","240.00","244.37","246.50","239.11","589.00K","-1.49%"
"02/03/2025","243.62","245.00","249.40","243.00","1.01M","1.23%"
"01/31/2025","240.65","238.00","242.89","236.06","814.22K","1.37%"
"01/30/2025","237.40","237.00","239.00","236.00","1.23M","0.19%"
"01/29/2025","236.95","238.89","241.90","236.03","162.59K","-0.81%"
"01/28/2025","238.89","240.03","243.50","237.37","794.68K","-1.26%"
"01/27/2025","241.94","245.00","246.00","239.50","443.23K","-1.09%"
"01/24/2025","244.60","243.77","245.50","242.50","1.00M","0.97%"
"01/23/2025","242.26","243.04","245.50","241.00","501.05K","-0.32%"
"01/22/2025","243.04","246.00","251.00","242.00","1.24M","-1.19%"
"01/21/2025","245.97","241.90","248.19","240.50","1.22M","2.20%"
"01/20/2025","240.68","238.50","241.86","237.00","1.98M","1.58%"
"01/17/2025","236.93","236.36","238.00","235.50","682.01K","0.24%"
"01/16/2025","236.36","238.47","238.47","235.50","1.31M","-0.46%"
"01/15/2025","237.46","237.99","238.99","236.00","1.22M","0.03%"
"01/14/2025","237.40","237.00","238.98","234.01","1.41M","0.34%"
"01/13/2025","236.59","233.91","240.39","233.91","1.62M","1.41%"
"01/10/2025","233.31","234.00","236.43","232.00","1.02M","-0.71%"
"01/09/2025","234.99","241.50","242.06","234.50","1.74M","-2.68%"
"01/08/2025","241.47","247.00","249.44","240.00","637.78K","-1.76%"
"01/07/2025","245.80","243.00","247.50","240.00","1.29M","1.15%"
"01/06/2025","243.00","246.17","247.00","241.00","802.31K","-1.42%"
"01/03/2025","246.50","247.00","249.50","240.40","909.25K","-0.12%"
"01/02/2025","246.80","241.30","252.50","241.30","2.78M","0.49%"
"01/01/2025","245.60","239.11","250.00","239.11","1.59M","2.33%"
"12/31/2024","240.00","244.99","244.99","238.00","1.98M","-1.54%"
"12/30/2024","243.75","234.00","246.90","233.01","6.02M","5.06%"
"12/27/2024","232.00","222.50","232.97","220.77","3.68M","4.84%"
"12/26/2024","221.30","223.10","225.35","220.00","3.52M","-0.98%"
"12/24/2024","223.49","221.80","225.10","219.01","5.94M","1.13%"
"12/23/2024","221.00","226.00","226.00","216.57","2.24M","0.97%"
"12/20/2024","218.88","211.99","226.50","211.50","1.70M","3.83%"
"12/19/2024","210.80","212.96","217.50","210.00","3.41M","-1.72%"
"12/18/2024","214.49","227.00","229.44","212.00","2.79M","-5.09%"
"12/17/2024","225.99","221.10","230.30","221.10","3.65M","0.04%"
"12/16/2024","225.89","228.10","228.92","223.50","2.13M","-1.14%"
"12/13/2024","228.49","241.50","242.01","227.50","4.25M","-5.15%"
"12/12/2024","240.90","246.50","246.50","239.42","1.86M","-1.91%"
"12/11/2024","245.60","243.54","248.75","243.11","1.00M","-0.53%"
"12/10/2024","246.90","245.00","254.00","240.95","3.21M","-0.64%"
"12/09/2024","248.50","257.00","257.00","239.00","2.63M","-2.36%"
"12/06/2024","254.50","246.10","260.00","241.50","2.93M","3.88%"
"12/05/2024","245.00","235.00","245.50","233.03","2.80M","4.71%"
"12/04/2024","233.99","237.07","241.50","233.50","1.59M","-1.19%"
"12/03/2024","236.80","238.00","242.00","234.90","974.53K","-0.50%"
"12/02/2024","238.00","228.36","240.99","228.00","2.53M","4.66%"
"11/29/2024","227.40","226.50","231.07","225.20","2.23M","0.09%"
"11/28/2024","227.20","232.00","232.00","225.60","3.15M","-2.43%"
"11/27/2024","232.85","221.00","238.00","221.00","10.80M","-1.76%"
"11/26/2024","237.01","260.00","280.00","237.01","9.78M","-10.22%"
"11/25/2024","263.98","257.44","281.00","252.05","2.08M","2.32%"
"11/22/2024","258.00","237.00","258.54","237.00","5.50M","8.86%"
"11/21/2024","237.00","232.30","237.00","230.00","1.43M","1.76%"
"11/20/2024","232.90","232.00","233.80","231.00","1.34M","0.93%"
"11/19/2024","230.75","231.00","232.00","229.21","5.13M","0.76%"
"11/18/2024","229.00","233.00","233.00","227.00","1.63M","-0.43%"
"11/15/2024","230.00","228.10","232.87","228.00","3.69M","1.39%"
"11/14/2024","226.85","225.80","228.00","224.41","2.74M","0.93%"
"11/13/2024","224.75","227.49","227.90","223.55","1.75M","-1.42%"
"11/12/2024","227.99","227.00","228.90","226.00","317.04K","0.02%"
"11/11/2024","227.95","228.72","229.90","227.27","382.24K","-0.65%"
"11/08/2024","229.44","230.49","232.00","228.00","569.71K","-0.46%"
"11/07/2024","230.50","232.45","233.90","230.00","461.78K","-0.96%"
"11/06/2024","232.74","231.15","233.00","231.00","527.18K","0.23%"
"11/05/2024","232.20","230.00","233.00","228.00","998.52K","-0.56%"
"11/04/2024","233.50","233.00","233.50","229.00","712.70K","1.08%"
"11/01/2024","231.00","232.00","234.50","230.00","1.22M","-0.83%"
"10/31/2024","232.94","238.98","241.20","231.00","738.40K","-2.54%"
"10/30/2024","239.00","241.00","241.95","238.00","680.13K","-0.97%"
"10/29/2024","241.35","239.50","242.51","239.50","6.94M","-2.25%"
"10/28/2024","246.90","246.90","249.00","245.00","971.94K","0.14%"
"10/25/2024","246.55","242.30","247.00","242.30","1.40M","1.78%"
"10/24/2024","242.25","241.60","243.39","241.00","1.05M","0.44%"
"10/23/2024","241.20","242.00","242.00","240.50","618.76K","0.00%"
"10/22/2024","241.20","241.35","242.50","240.75","282.69K","0.08%"
"10/21/2024","241.00","242.00","243.00","240.50","721.43K","0.05%"
"10/18/2024","240.87","240.00","242.10","240.00","615.84K","0.36%"
"10/17/2024","240.00","240.50","242.49","236.01","1.34M","0.00%"
"10/16/2024","240.00","242.34","243.99","239.91","637.45K","-1.02%"
"10/15/2024","242.48","242.00","242.90","240.50","290.01K","0.57%"
"10/14/2024","241.10","241.00","243.99","241.00","244.77K","0.04%"
